Année,2015,2016,2017,2018,2019
[0 150),67209.5,58876.01,67210.22,100184.55,101099.77
[150 500),223074.75,202632.71,237579.19,247738.74,252962.78
[500 1’000),353315.3,343605.7,468264.25,446334.95,428689.28
[1’000 3’000),1144435.6,1231749.69,1526126.89,1599228.2,1694994.08
[3’000 ...),1728978.85,1669365.23,1788709.1,1846988.58,1840829.01
